Name,Review,UpVotes,Rating,Date,Opinion Unit,Unsupervised labels
Glenn Armitage,use this app through Nvidia Shield and was fine until recently Now when attempt locate movie play ext will find them first but the time getting into the starts skipping some until there nothing left around the random each time too you,81.0,1.0,"December 31, 2019","[['i', 'use', 'app', 'nvidia', 'shield', 'fine', 'recently'], ['now', 'i', 'attempt', 'locate', 'movie', 'play', 'ext', 'hd', 'find', 'first', 'time', 'i', 'getting', 'hs', 'starts', 'skipping', 'nothing', 'left', 'around', 'ms'], ['it', 'random', 'time'], ['if', 'h']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
gabe g,was big fan this player ever since was using computer long before the Android devices and would have given the highest rating However made the mistake running the app while wifi and upgraded itself from without notice and despite device,86.0,3.0,"December 14, 2019","[['i', 'big', 'fan', 'player', 'ever', 'since', 'i', 'using', 'computer', 'long', 'android', 'devices', 'i', 'would', 'given', 'highest', 'rating'], ['however', 'i', 'made', 'mistake', 'running', 'app', 'wifi', 'upgraded', 'v'], ['2'], ['5'], ['13', 'v'], ['3'], ['2'], ['3', 'without', 'notice', 'despite', 'device']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Jonathan M,Latest update broke usability VLC was favorite app car android gps system now can read folders properly grabbing incomplete directory results that randomly change every load Thumbnails longer fully load Extremely sluggish stalls for minutes biggest pet peeve,32.0,3.0,"December 17, 2019","[['latest', 'update', 'broke', 'usability'], ['vlc', 'favorite', 'app', 'car', 'android', 'gps', 'system'], ['it', 'read', 'folders', 'properly', 'grabbing', 'incomplete', 'directory', 'results', 'randomly', 'change', 'every', 'load'], ['thumbnails', 'longer', 'fully', 'load'], ['extremely', 'sluggish', 'stalls', 'minutes'], [], [], [], ['my', 'biggest', 'pet', 'peeve', 'th']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Dora The Explorer,Before latest update had easy read list showing artist album perhaps dozen view Now get thumbnails album covers heavily shortened text description Anybody with loads playlists going take ages scrolling through find alternative scrub VLC for good,40.0,2.0,"December 23, 2019","[['before', 'latest', 'update', 'easy', 'read', 'list', 'showing', 'artist', 'album', 'perhaps', 'dozen', 'view'], ['now', 'i', 'get', '3', '4', 'thumbnails', 'album', 'covers', 'heavily', 'shortened', 'text', 'description'], ['anybody', 'loads', 'playlists', 'going', 'take', 'ages', 'scrolling'], ['if', 'i', 'find', 'alternative', 'i', 'scrub', 'vlc', 'good']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'neutral']"
Terry Lyall,VLC was always one the best until hit the Android taking star because doesn always save location video after closing the app close off while projecting phone usually doesn save annoying wouldn mind bookmark feature eventually,62.0,2.0,"January 14, 2020","[['vlc', 'always', 'one', 'best', 'hit', 'android', 'os'], ['i', 'taking', '1', 'star', 'always', 'save', 'location', 'video', 'closing', 'app'], ['if', 'i', 'close', 'projecting', 'phone', 'tv', 'usually', 'save'], ['it', 'annoying', 'i', 'would', 'mind', 'bookmark', 'feature', 'eventually'], ['yo']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Feature Request', 'Redundant/NA']"
J-train,This amazing app that works perfectly almost every way for listening downloaded music Although bit disappointed see the removal the exclusive headset remote control option makes difficult skip tracks without pulling out your phone,5.0,4.0,"January 23, 2020","[['this', 'amazing', 'app', 'works', 'perfectly', 'almost', 'every', 'way', 'listening', 'downloaded', 'music'], ['although', 'i', 'bit', 'disappointed', 'see', 'removal', 'exclusive', 'headset', 'remote', 'control', 'option', 'makes', 'difficult', 'skip', 'tracks', 'without', 'pulling', 'phone']]","['Redundant/NA', 'Feature Request']"
Tres Tigers,BEST audio playing app date This gives the best sound that even Google Music can with the long and accurate equalizer hope they make the equalizer bigger both vertically and horizontally for small screen NOTE USERS When using high volume from VLC will off,41.0,4.0,"December 13, 2019","[['best', 'audio', 'playing', 'app', 'date', 'this', 'gives', 'best', 'sound', 'even', 'google', 'music', 'ca', 'long', 'accurate', 'equalizer'], ['i', 'hope', 'make', 'equalizer', 'bigger', 'vertically', 'horizontally', 'small', 'screen'], ['note', 'to', 'users', 'when', 'using', 'high', 'volume', 'vlc', 'go']]","['neutral', 'Redundant/NA', 'Redundant/NA']"
Aeron Hale,would have rated this stars previously but moving the audio playlists from where they were another directory has made less pleasant use and added more steps get your playlists stars for stupid and unnecessary change goes back how was update this Yet aga,38.0,5.0,"December 6, 2019","[['i', 'would', 'rated', '5', 'stars', 'previously', 'moving', 'audio', 'playlists', 'another', 'directory', 'made', 'less', 'pleasant', 'use', 'added', 'steps', 'get', 'playlists'], ['stars', 'stupid', 'unnecessary', 'change'], ['if', 'goes', 'back', 'i', 'update'], ['yet', 'aga']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Kisan Kumar Biswal,Every new update arises new problem equlizer changed with every update maybe crashing direction files used missing even after refreshing Volume gesture isn working single swipe Playlist problem audio mode only single song selected otherwise you need shuffl,23.0,2.0,"December 23, 2019","[['every', 'new', 'update', 'arises', 'new', 'problem', '1'], ['equlizer', 'changed', 'every', 'update', 'maybe', 'crashing', '2'], ['in', 'direction', 'files', 'used', 'missing', 'even', 'refreshing', '3'], ['volume', 'gesture', 'working', 'single', 'swipe', '4'], ['playlist', 'problem', '5'], ['in', 'audio', 'mode', 'single', 'song', 'selected', 'otherwise', 'need', 'shuffl']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Hizkia Ibrahim,This latest update really screwed things lot things didn work with the last update and worst than the previous version was unable connect through SMB computers anymore play video files Android But after some researching found the way resolve this,428.0,1.0,"December 7, 2019","[['this', 'latest', 'update', 'really', 'screwed', 'things'], ['a', 'lot', 'things', 'work', 'last', 'update', 'worst', 'previous', 'version'], ['i', 'unable', 'connect', 'smb', 'computers', 'anymore', 'play', 'video', 'files', 'android', 'tv'], ['but', 'researching', 'i', 'found', 'way', 'resolve']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
RP S,The latest update removed many important features like aspect ratio playback speed subtitles etc that were available the player now you have press the dots and then use these features Bring those features back Also the aspect ratio not working properly was watching,35.0,2.0,"December 15, 2019","[['the', 'latest', 'update', 'removed', 'many', 'important', 'features', 'like', 'aspect', 'ratio', 'playback', 'speed', 'subtitles', 'etc', 'available', 'player', 'press', '3', 'dots', 'use', 'features'], ['bring', 'features', 'back'], ['also', 'aspect', 'ratio', 'working', 'properly', 'i', 'watching', 'vi']]","['neutral', 'Redundant/NA', 'Redundant/NA']"
Marco Ramírez,just loved this app was perfect and could open almost every media file with but all ended with the last update now takes like hour load files and make worse now occupies unjustified ammount space phone memory slowing down think that lot woul,495.0,1.0,"December 18, 2019","[['i', 'loved', 'app', 'perfect', 'could', 'open', 'almost', 'every', 'media', 'file', 'ended', 'last', 'update'], [], [], ['takes', 'like', 'hour', 'load', 'files', 'make', 'worse', 'occupies', 'unjustified', 'ammount', 'space', 'phone', 'memory', 'slowing', 'i', 'think', 'lot', 'us', 'woul']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'neutral']"
Bert Ward,Loop control was not showing anywhere After reinstalls suddenly appeared Where expected App now for the time being Wasnt before Things like that happen with various computer devices and doesnt always make sense good grief was too quick the draw changed Apolog,18.0,1.0,"December 20, 2019","[['loop', 'control', 'showing', 'anywhere'], ['after', '2', 'reinstalls', 'suddenly', 'appeared'], ['where', 'expected'], ['app', 'ok', 'time'], ['wasnt'], ['things', 'like', 'do', 'happen', 'various', 'computer', 'devices', 'doesnt', 'always', 'sense'], ['good', 'grief', 'i', 'quick', 'draw'], ['so', 'changed'], ['apolog']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'neutral', 'neutral', 'Redundant/NA', 'Redundant/NA']"
Jack Marshall,been using VLC for years desktop and android versions Since the latest update been having little trouble with screen ratio not auto adjusting Acer Chromebook Once load video will play but the bottom the screen cut off where the play button which have,67.0,3.0,"December 29, 2019","[['i', 'using', 'vlc', 'years', 'desktop', 'android', 'versions'], ['since', 'latest', 'update', 'little', 'trouble', 'screen', 'ratio', 'auto', 'adjusting', 'acer', 'chromebook', '15'], ['once', 'i', 'load', 'video', 'play', 'bottom', 'screen', 'cut', 'play', 'button', 'i']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Alex Naglich,Clean interface intuitive navigation plenty features ads incredibly user friendly Edit The subtitles not load the middle only you have playback running where the subtitle first appears device subtitle settings change nothing Pulling from the edge the device for drop,87.0,4.0,"January 8, 2020","[['clean', 'interface', 'intuitive', 'navigation', 'plenty', 'features', 'ads', 'incredibly'], ['edit', 'the', 'subtitles', 'load', 'middle', 'playback', 'running', 'subtitle', 'first', 'appears'], ['on', 'device', 'subtitle', 'settings', 'change', 'nothing', 'pulling', 'edge', 'device']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Mihai Mara,Sometimes VLC closes for reason even set high priority always The random shuffle play mode playlist keeps playing same songs some several times and completely ignores others does not remember what playlist song was playing last time you used For example list,713.0,3.0,"January 11, 2020","[['sometimes', 'vlc', 'closes', 'reason', 'even', 'i', 'set', 'high', 'priority', 'always'], ['the', 'random', 'shuffle', 'play', 'mode', 'playlist', 'keeps', 'playing', 'songs', 'several', 'times', 'completely', 'ignores', 'others'], ['it', 'remember', 'playlist', 'song', 'playing', 'last', 'time', 'used'], ['for', 'example', 'i', 'list']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Mutinta Handabile,can fast forward the episodes watching which makes hard for skip some parts don want watch Thought was settings phone but checked and everything alright Other than that fairly good app,2.0,3.0,"January 23, 2020","[['i', 'ca', 'fast', 'forward', 'episodes', 'i', 'watching', 'makes', 'hard', 'skip', 'parts', 'i', 'want', 'watch'], ['thought', 'settings', 'phone', 'i', 'checked', 'everything', 'alright'], ['other', 'fairly', 'good', 'app'], []]","['Performance', 'Redundant/NA', 'neutral', 'Redundant/NA']"
U make my heart go uwu,use listen music and good for the most part only problem with the latest update When installed won let play over songs downloaded either have play the songs directly from the Directories section use different app Aside from that great app,8.0,2.0,"January 27, 2020","[['i', 'use', 'listen', 'music', 'good', 'part', 'problem', 'latest', 'update'], ['when', 'i', 'installed', 'wo', 'let', 'play', '600', 'songs', 'i', 'downloaded'], ['i', 'either', 'play', 'songs', 'directly', 'directories', 'section', 'use', 'different', 'app'], ['aside', 'great', 'app'], []]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
V.V,some music kbps when the playback speed increases you hear noise and really awful cause this feature wasn like this before after serval updates hoped will better next update but doesn look like gonna better all enjoy from this app the playback,129.0,4.0,"December 21, 2019","[['on', 'music', '128kbps', 'playback', 'speed', 'increases', 'hear', 'noise', 'really', 'awful', 'cause', 'feature', 'like', 'serval', 'updates', 'i', 'hoped', 'better', 'next', 'update', 'look', 'like', 'gon', 'na', 'better', 'i', 'enjoy', 'app', 'playback', 'sp']]",['neutral']
Elton Veux,Great program have been having issue with using the repeat feature When repeat song always seems turn repeat and starts from the point the song that actually turned repeat very irritating because can just repeat the song,5.0,2.0,"January 29, 2020","[['great', 'program', 'i', 'issue', 'using', 'repeat', 'feature'], ['when', 'i', 'repeat', '1', 'song', 'always', 'seems', 'turn', 'ab', 'repeat', 'starts', 'point', 'song', 'i', 'actually', 'turned', 'repeat'], ['it', 'irritating', 'i', 'ca', 'repeat', 'song'], []]","['Support', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Kevin M.,Perfect for watching videos open source and all the features could ever need love this app Thanks,1.0,3.0,"February 14, 2020","[['perfect', 'watching', 'videos', 'open', 'source', 'features', 'i', 'could', 'ever', 'need'], ['i', 'love', 'app'], ['thanks']]","['Redundant/NA', 'neutral', 'Redundant/NA']"
Steve Gower,the past would have rated this recent update plays audiobooks for couple minutes then crashes worked perfectly before the update now unusable but have been generous with the rating and will edit once the bug has been fixed Devs you would like copy the aud,104.0,5.0,"January 2, 2020","[['in', 'past', 'i', 'would', 'rated', '5'], ['a', 'recent', 'update', 'plays', 'audiobooks', 'couple', 'minutes', 'crashes'], ['it', 'worked', 'perfectly', 'update'], ['it', 'unusable', 'generous', 'rating', 'edit', '5', 'bug', 'fixed', 'devs', 'would', 'like', 'copy', 'aud']]","['Redundant/NA', 'Bug', 'Redundant/NA', 'neutral']"
Tony Early,Top notch app Nearly does all really appreciate the modern and streamline Audio and video support superb and all major codecs are supported One feature would like see the future the ability have cover art displayed while streaming online radio playlists similar that,1596.0,3.0,"December 21, 2019","[['top', 'notch', 'app'], ['nearly'], ['i', 'really', 'appreciate', 'modern', 'streamline', 'ui'], ['audio', 'video', 'support', 'superb', 'major', 'codecs', 'supported'], ['one', 'feature', 'i', 'would', 'like', 'see', 'future', 'ability', 'cover', 'art', 'displayed', 'streaming', 'online', 'radio', 'playlists', 'similar', 'w']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Support', 'neutral']"
Ali Mojebi,The last update was THE worst ever seen any app Huge ugly icons for playlists user unfriendly interface After the update playlists turned empty that right like with media files them The app constantly refreshing identify new media files yet doesn actually recogni,18.0,5.0,"December 31, 2019","[['the', 'last', 'update', 'the', 'worst', 'i', 'ever', 'seen', 'app'], ['huge', 'ugly', 'icons', 'playlists', 'interface'], ['after', 'update', 'playlists', 'turned', 'empty', 'right', 'like', '0', 'media', 'files'], ['the', 'app', 'constantly', 'refreshing', 'identify', 'new', 'media', 'files', 'yet', 'actually', 'recogni']]","['Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA']"
Clayton Morrison,This works with pretty much any media type and has loads different options aswell use all the devices use media and since phone always vlc for android and have gotten know each other quite well The feature wasn expecting but loved was the pop sized player,265.0,1.0,"December 19, 2019","[['this', 'works', 'pretty', 'much', 'media', 'type', 'loads', 'different', 'options', 'aswell', 'i', 'use', 'devices', 'i', 'use', 'media', 'since', 'phone', 'always', 'vlc', 'android', 'i', 'gotten', 'know', 'quite', 'well'], ['the', 'feature', 'i', 'expecting', 'loved', 'pop', 'sized', 'player']]","['neutral', 'Feature Request']"
Jet Ardeshna,Here use case Background play enabled start playing folder filled with both audio AND video files then lock the screen Works fine until the audio files are played But when video played stops playing until unlock and select Play audio Solution sorta Activate the,35.0,5.0,"January 4, 2020","[['here', 'use', 'case', 'background', 'play', 'enabled'], ['i', 'start', 'playing', 'folder', 'filled', 'audio', 'and', 'video', 'files', 'lock', 'screen'], ['works', 'fine', 'audio', 'files', 'played'], ['but', 'video', 'played', 'stops', 'playing', 'i', 'unlock', 'select', 'play', 'audio'], ['solution', 'sorta', 'activate', 'p']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Richard Young,Sadly this app does not live desktop reputation always starts full blast volume ignores the current volume settings the phone Once you gently tap the volume down button jumps the were should When listening playlist there random repeat button,49.0,5.0,"January 13, 2020","[['sadly', 'app', 'live', 'desktop', 'reputation'], ['it', 'always', 'starts', 'full', 'blast', 'volume'], ['it', 'ignores', 'current', 'volume', 'settings', 'phone'], ['once', 'gently', 'tap', 'volume', 'button', 'jumps'], ['when', 'listening', 'playlist', 'random', 'repeat', 'button']]","['Redundant/NA', 'neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Adrian Michell,just updated the latest version Now when set Android app will exit when opening any browsing option Internal Network favourites etc etc Seems work fine normal mode Just more difficult use And seems have lost file skip functionality,2.0,2.0,"January 23, 2020","[['my', 'tv', 'updated', 'latest', '3'], ['2'], ['6', 'version'], ['now', 'set', 'android', 'tv', 'ui', 'app', 'exit', 'opening', 'browsing', 'option'], ['internal', 'network', 'favourites', 'etc', 'etc'], ['seems', 'work', 'fine', 'normal', 'ui', 'mode'], ['just', 'difficult', 'use'], ['and', 'seems', 'lost', 'file', 'skip', 'functionality'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Feature Request', 'Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA', 'Redundant/NA']"
Ronald Jordan Jr,Background play love that background play option now seeing that phones video player doesn have the best format adaptive capability But the BGP doesn last long and cuts out randomly back the screen using sure will get better Still great tool for android,4.0,2.0,"January 27, 2020","[['background', 'play', 'i', 'love', 'background', 'play', 'option', 'seeing', 'phones', 'video', 'player', 'best', 'format', 'adaptive', 'capability'], ['but', 'bgp', 'last', 'long', 'cuts', 'randomly', 'back', 'screen', 'i', 'using'], ['i', 'sure', 'get', 'better', 'still', 'great', 'tool', 'android']]","['neutral', 'Redundant/NA', 'Redundant/NA']"
Aukash Kalyaan,Come review been for more than month and haven fixed the issue chromecast use phone hotspot wifi device can cast any apps from phone but The vlc player the only app casting options not showing pls fix this and add option for next video while,2.0,4.0,"January 23, 2020","[['come', 'review', 'month', 'u', 'fixed', 'issue', 'my', 'chromecast', 'use', 'phone', 'hotspot', 'wifi', 'device', 'cast', 'apps', 'phone', 'the', 'vlc', 'player', 'app', 'casting', 'options', 'showing'], [], [], [], ['pls', 'fix', 'add', 'option', 'go', 'next', 'video', 'c']]","['Support', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Feature Request']"
David Watt,Great except few issues you own band WiFi router router Asus Gigabit both down network this app fast quality device like Samsung Galaxy Note RAM this app still will not cast video matter how much RAM device screen resolution CPU netwo,23.0,4.0,"December 5, 2019","[['great', 'except', 'issues'], [], [], ['if', '3', 'band', 'wifi', 'router', 'router', 'asus', '11000', 'w', 'gigabit', 'network', 'app', 'fast', 'quality', 'device', 'like', 'samsung', 'galaxy', 'note', '9', '512gb', '8gb', 'ram', 'app', 'still', 'cast', '4k', 'video', 'matter', 'much', 'ram', 'device', 'screen', 'resolution', 'cpu', 'netwo']]","['Bug', 'Redundant/NA', 'Redundant/NA', 'neutral']"
Tshwene Vincent Baloyi,Latest update screwed everything For example switch another app from VLC and then back the font set small This problem came with the latest update Quitting and restarting the app fixes The app was fine the way was now there are plyaback errors the interface sucks,108.0,4.0,"December 21, 2019","[['latest', 'update', 'screwed', 'everything'], ['for', 'example', 'i', 'switch', 'another', 'app', 'vlc', 'go', 'back', 'font', 'set', 'small'], ['this', 'problem', 'came', 'latest', 'update'], ['quitting', 'restarting', 'app', 'fixes'], ['the', 'app', 'fine', 'way', 'plyaback', 'errors', 'interface', 'sucks']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Bug']"
Shane Drumbastic,mainly use the app stream chromecast from NAS drive Unfortunately this app far the worst for streaming and has been for some time constantly locks and have reset chromecast this does not happen for any other apps Playback local files fine but stated,207.0,1.0,"January 8, 2020","[['i', 'mainly', 'use', 'app', 'stream', 'chromecast', 'nas', 'drive'], ['unfortunately', 'app', 'far', 'worst', 'streaming', 'time'], ['it', 'constantly', 'locks', 'i', 'reset', 'chromecast', 'happen', 'apps'], ['playback', 'local', 'files', 'fine', 'stated']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Arlene S.,Would stars but needs version allowing back and forth loop and has zoom feature for videos,1.0,2.0,"February 2, 2020","[['would', 'go', '5', 'stars', 'needs', 'version', 'allowing', 'back', 'forth', 'loop', 'zoom', 'feature', 'videos'], []]","['Feature Request', 'Redundant/NA']"
Greg-Snap R,finding out not alone with this now non play issue VLC now saying that One shared networks asking for password can network since there has never been password set for this particular one have never needed anything the sort before Please correc,170.0,4.0,"December 4, 2019","[['as', 'i', 'finding', 'i', 'alone', 'non', 'play', 'issue', 'vlc', 'saying', 'one', 'shared', 'networks', 'asking', 'password', 'it', 'ca', 'network', 'since', 'never', 'password', 'set', 'particular', 'one'], ['i', 'never', 'needed', 'anything', 'sort'], [], [], ['please', 'correc']]","['Support', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Amin Karimi,the best app Vlc can play aac chromecast other app can But can play subtitle chromecast can you please add this feature,1.0,2.0,"February 10, 2020","[['it', 'best', 'app', 'vlc', 'play', 'aac', '5'], ['1', 'chromecast'], [], [], ['no', 'app', 'but', 'ca', 'play', 'subtitle', 'chromecast', 'please', 'add', 'feature']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Feature Request']"
john hendey,bag shi Fails the basics Much much better out there android These are masters the but not even close anything else,,4.0,"February 12, 2020","[['it', 'bag', 'shi', 'te'], ['fails', 'basics'], ['much', 'much', 'better', 'android'], ['these', 'masters', 'pc', 'even', 'close', 'anything', 'else']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Saud Chaudhery,Nice app view movies Loading time bit long though,1.0,2.0,"February 11, 2020","[['nice', 'app', 'view', 'movies'], ['loading', 'time', 'bit', 'long', 'though'], []]","['neutral', 'Redundant/NA', 'Redundant/NA']"
Julia Barnard,Generally works very well But EVERY time there software update forgets all media and deletes all saved playlists Which extremely annoying have create them from scratch every time Doesn seem let you save the playlists anywhere separate from the live memory,32.0,5.0,"December 18, 2019","[['generally', 'works', 'well'], ['but', 'every', 'time', 'software', 'update', 'forgets', 'media', 'deletes', 'saved', 'playlists'], ['which', 'extremely', 'annoying', 'i', 'create', 'scratch', 'every', 'time'], ['does', 'seem', 'let', 'save', 'playlists', 'anywhere', 'separate', 'live', 'memory'], ['so']]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Farran,love this app well ported for Android However created thumbnails database over which seems unnecessary given that Android already has thumbnails for the files think andbut also that most these files are audio VLC must have made thumbnail for every track using its,82.0,3.0,"January 2, 2020","[['i', 'love', 'app', 'well', 'ported', 'android', 'however', 'created', 'thumbnails', 'database', '500mb', 'seems', 'unnecessary', 'given', 'android', 'already', 'thumbnails', 'files', 'i', 'think', 'andbut', 'also', 'files', 'audio', 'vlc', 'must', 'made', 'thumbnail', 'every', 'track', 'using']]",['neutral']
Hyperion Proteus,SUDDENLY STOPS THE VIDEO WHEN DRAG SEEK only drag seeks and mildly infuriating should keep playing without interruption when drag seek That how the previous versions doesn happen everytime but the time does Huawei Pro Lite model doesn even matter,61.0,4.0,"January 9, 2020","[['it', 'suddenly', 'stops', 'the', 'video', 'when', 'i', 'drag', 'seek', 'drag', 'seeks', 'mildly', 'infuriating'], ['it', 'keep', 'playing', 'without', 'interruption', 'i', 'drag', 'seek'], ['that', 'previous', 'versions'], ['it', 'happen', 'everytime', '85', 'time'], ['huawei', 'pro', 'lite', 'model', 'even', 'matter', 'si']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Joseph Marcum,This the greatest app for playing videos the background have tried apps more for android and most were not compatible Androids over and mine nine Thank you much VLC member for life Now time jam and read all unread emails got over the holida,58.0,2.0,"January 17, 2020","[['this', 'greatest', 'app', 'playing', 'videos', 'background'], ['i', 'tried', '100', 'apps', 'android', 'compatible', 'androids', '7', 'mine', 'nine'], ['thank', 'much', 'vlc', 'im', 'member', 'life'], ['now', 'time', 'jam', 'read', 'unread', 'emails'], [], [], [], [], [], [], ['i', 'got', 'holida']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Maximus,The newer updates have made using the fast forwardrewind volume control pauseplay etc into nightmare triggering issues try and swipe the volume and look fast forwarded try further away from the fast forward trigger area for volume pause You have the,42.0,5.0,"January 19, 2020","[['the', 'newer', 'updates', 'made', 'using', 'fast', 'forwardrewind', 'volume', 'control', 'pauseplay', 'etc', 'nightmare', 'triggering', 'issues'], ['i', 'try', 'swipe', 'volume', 'oh', 'look', 'i', 'fast', 'forwarded'], ['if', 'i', 'try', 'go', 'away', 'fast', 'forward', 'trigger', 'area', 'volume', 'i', 'pause'], ['you']]","['Performance', 'Performance', 'Performance', 'Redundant/NA']"
Agapia Coman,love VLC have computer well However find absolutely ridiculous that deletes playlists randomly did couple times now won risk putting the time into creating the playlists again Looking for another player,1.0,1.0,"January 30, 2020","[['i', 'love', 'vlc', 'i', 'computer', 'well'], ['however', 'i', 'find', 'absolutely', 'ridiculous', 'deletes', 'playlists', 'randomly'], ['it', 'couple', 'times', 'i', 'wo', 'risk', 'putting', 'time', 'creating', 'playlists'], ['looking', 'another', 'player'], []]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Ahsan Jabbar,Loved Thou the layout not good They should also include zoom inout the video while playing,4.0,3.0,"February 5, 2020","[['loved'], ['thou', 'layout', 'v'], ['good'], ['they', 'also', 'include', 'zoom', 'inout', 'video', 'playing'], []]","['Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA', 'Redundant/NA']"
Melissa Cain,The update not loading all the music card Only loads about and have Also very slow load want roll back cause VLC was working fine before ain broke don fix This ridiculous Everytime you release and update broken Test the thing properly,324.0,5.0,"January 3, 2020","[['the', 'update', 'loading', 'music', 'sd', 'card'], ['only', 'loads', '100', 'i', '2000'], ['also', 'slow', 'load'], ['i', 'want', 'roll', 'back', 'cause', 'vlc', 'working', 'fine'], ['if', 'ai', 'broke', 'fix'], ['this', 'ridiculous'], ['everytime', 'release', 'update', 'broken'], ['test', 'thing', 'properly'], ['k']]","['Redundant/NA', 'Redundant/NA', 'Performance', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Support', 'Redundant/NA', 'Redundant/NA']"
Sydney Lewis-Picard,VLC plays all types media files including many with unusual advanced audio formats Playback always smooth Video and audio are synced most the time except when streaming Fire Stick using the Fire Stick version this app Another MAJOR shortcoming when streaming MKV files,20.0,1.0,"January 16, 2020","[['vlc', 'plays', 'types', 'media', 'files', 'including', 'many', 'unusual', 'advanced', 'audio', 'formats'], ['playback', 'always', 'smooth'], ['video', 'audio', 'synced', 'time', 'except', 'streaming', 'fire', 'stick', 'using', 'fire', 'stick', 'version', 'app'], ['another', 'major', 'shortcoming', 'streaming'], ['mkv', 'files']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Resuri Kuro,Why you need change something that was good even perfect before The new horrible Too big icons and you removed the most important icon from the the resize screen know its there the menu but hides half the screen when try calibrate the screen size needed tap,42.0,3.0,"December 6, 2019","[['why', 'need', 'change', 'something', 'good', 'even', 'perfect', 'the', 'new', 'ui', 'horrible', 'too', 'big', 'icons', 'removed', 'important', 'icon', 'ui', 'resize', 'screen'], ['i', 'know'], [], [], ['menu', 'hides', 'half', 'screen', 'try', 'calibrate', 'screen', 'size'], ['i', 'needed', '3', 'tap']]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Cloaked Rider,Great job the developer The app back and running better than ever did have big hiccup around But all the issues have been patched Love that can see the video file size and delete directly from the app menu again,33.0,2.0,"January 27, 2020","[['great', 'job', 'developer'], ['the', 'app', 'back', 'running', 'better', 'ever'], ['it', 'big', 'hiccup', 'around', '122019'], ['but', 'issues', 'patched'], ['love', 'i', 'see', 'video', 'file', 'size', 'delete', 'directly', 'app', 'menu'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Bug', 'neutral', 'Redundant/NA']"
